M,a,N,RSI_days,rsi_lower,rsi_upper,stop_loss_rate,Sample1_StrategyReturn,Sample2_StrategyReturn,Sample3_StrategyReturn,Sample1_BnHReturn,Sample2_BnHReturn,Sample3_BnHReturn,Sample1_RelativeReturn,Sample2_RelativeReturn,Sample3_RelativeReturn
105.0,1.05,8.0,105.0,40.0,60.0,0.15,5658.0,4355.0,6799.0,3236.0,614.4700000000003,4075.49,2422.0,3740.5299999999997,2723.51
125.0,1.05,3.0,125.0,45.0,60.0,0.15,5594.0,6818.0,5977.0,3236.0,614.4700000000003,4075.49,2358.0,6203.53,1901.5100000000002
120.0,1.05,7.0,120.0,45.0,60.0,0.1,5594.0,2921.0,6254.0,3236.0,614.4700000000003,4075.49,2358.0,2306.5299999999997,2178.51
120.0,1.05,5.0,120.0,40.0,60.0,0.1,5594.0,4211.0,6976.0,3236.0,614.4700000000003,4075.49,2358.0,3596.5299999999997,2900.51
120.0,1.05,5.0,120.0,40.0,60.0,0.15,5594.0,9517.0,6614.0,3236.0,614.4700000000003,4075.49,2358.0,8902.529999999999,2538.51
125.0,1.05,10.0,125.0,45.0,60.0,0.25,5594.0,6779.0,6143.0,3236.0,614.4700000000003,4075.49,2358.0,6164.53,2067.51
125.0,1.05,10.0,125.0,45.0,60.0,0.15,5594.0,6818.0,6162.0,3236.0,614.4700000000003,4075.49,2358.0,6203.53,2086.51
120.0,1.05,7.0,120.0,45.0,60.0,0.15,5594.0,8226.0,6077.0,3236.0,614.4700000000003,4075.49,2358.0,7611.53,2001.5100000000002
120.0,1.05,7.0,120.0,45.0,60.0,0.25,5594.0,8055.0,6058.0,3236.0,614.4700000000003,4075.49,2358.0,7440.53,1982.5100000000002
120.0,1.05,8.0,120.0,45.0,60.0,0.1,5594.0,2921.0,6254.0,3236.0,614.4700000000003,4075.49,2358.0,2306.5299999999997,2178.51
120.0,1.05,8.0,120.0,40.0,60.0,0.25,5594.0,9346.0,6780.0,3236.0,614.4700000000003,4075.49,2358.0,8731.529999999999,2704.51
120.0,1.05,8.0,120.0,40.0,60.0,0.15,5594.0,9517.0,6799.0,3236.0,614.4700000000003,4075.49,2358.0,8902.529999999999,2723.51
120.0,1.05,8.0,120.0,40.0,60.0,0.1,5594.0,4211.0,6976.0,3236.0,614.4700000000003,4075.49,2358.0,3596.5299999999997,2900.51
120.0,1.05,8.0,120.0,45.0,60.0,0.15,5594.0,8226.0,6077.0,3236.0,614.4700000000003,4075.49,2358.0,7611.53,2001.5100000000002
120.0,1.05,8.0,120.0,45.0,60.0,0.25,5594.0,8055.0,6058.0,3236.0,614.4700000000003,4075.49,2358.0,7440.53,1982.5100000000002
120.0,1.05,7.0,120.0,40.0,60.0,0.25,5594.0,9346.0,6780.0,3236.0,614.4700000000003,4075.49,2358.0,8731.529999999999,2704.51
125.0,1.05,3.0,125.0,45.0,60.0,0.25,5594.0,6230.0,6143.0,3236.0,614.4700000000003,4075.49,2358.0,5615.53,2067.51
120.0,1.05,5.0,120.0,40.0,60.0,0.25,5594.0,8797.0,6780.0,3236.0,614.4700000000003,4075.49,2358.0,8182.53,2704.51
125.0,1.0,3.0,125.0,45.0,60.0,0.15,5594.0,6800.0,5810.0,3236.0,614.4700000000003,4075.49,2358.0,6185.53,1734.5100000000002
120.0,1.05,5.0,120.0,45.0,60.0,0.1,5594.0,2921.0,6254.0,3236.0,614.4700000000003,4075.49,2358.0,2306.5299999999997,2178.51
120.0,1.05,5.0,120.0,45.0,60.0,0.15,5594.0,8226.0,5892.0,3236.0,614.4700000000003,4075.49,2358.0,7611.53,1816.5100000000002
125.0,1.0,8.0,125.0,45.0,60.0,0.15,5594.0,6800.0,5810.0,3236.0,614.4700000000003,4075.49,2358.0,6185.53,1734.5100000000002
120.0,1.0,6.0,120.0,40.0,60.0,0.1,5594.0,4129.0,6278.0,3236.0,614.4700000000003,4075.49,2358.0,3514.5299999999997,2202.51
120.0,1.05,7.0,120.0,40.0,60.0,0.15,5594.0,9517.0,6799.0,3236.0,614.4700000000003,4075.49,2358.0,8902.529999999999,2723.51
120.0,1.05,7.0,120.0,40.0,60.0,0.1,5594.0,4211.0,6976.0,3236.0,614.4700000000003,4075.49,2358.0,3596.5299999999997,2900.51
120.0,1.05,5.0,120.0,45.0,60.0,0.25,5594.0,7506.0,6058.0,3236.0,614.4700000000003,4075.49,2358.0,6891.53,1982.5100000000002
120.0,1.05,6.0,120.0,40.0,60.0,0.1,5594.0,4211.0,6976.0,3236.0,614.4700000000003,4075.49,2358.0,3596.5299999999997,2900.51
125.0,1.05,7.0,125.0,45.0,60.0,0.15,5594.0,6818.0,6162.0,3236.0,614.4700000000003,4075.49,2358.0,6203.53,2086.51
120.0,1.05,6.0,120.0,45.0,60.0,0.15,5594.0,8226.0,5892.0,3236.0,614.4700000000003,4075.49,2358.0,7611.53,1816.5100000000002
120.0,1.05,6.0,120.0,45.0,60.0,0.1,5594.0,2921.0,6254.0,3236.0,614.4700000000003,4075.49,2358.0,2306.5299999999997,2178.51
120.0,1.05,6.0,120.0,40.0,60.0,0.25,5594.0,9346.0,6780.0,3236.0,614.4700000000003,4075.49,2358.0,8731.529999999999,2704.51
120.0,1.05,6.0,120.0,40.0,60.0,0.15,5594.0,9517.0,6614.0,3236.0,614.4700000000003,4075.49,2358.0,8902.529999999999,2538.51
120.0,1.0,6.0,120.0,45.0,60.0,0.15,5594.0,7526.0,5725.0,3236.0,614.4700000000003,4075.49,2358.0,6911.53,1649.5100000000002
120.0,1.0,6.0,120.0,45.0,60.0,0.1,5594.0,2839.0,6440.0,3236.0,614.4700000000003,4075.49,2358.0,2224.5299999999997,2364.51
125.0,1.05,7.0,125.0,45.0,60.0,0.25,5594.0,6779.0,6143.0,3236.0,614.4700000000003,4075.49,2358.0,6164.53,2067.51
120.0,1.05,6.0,120.0,45.0,60.0,0.25,5594.0,8055.0,6058.0,3236.0,614.4700000000003,4075.49,2358.0,7440.53,1982.5100000000002
120.0,1.05,10.0,120.0,40.0,60.0,0.25,5594.0,9346.0,6780.0,3236.0,614.4700000000003,4075.49,2358.0,8731.529999999999,2704.51
120.0,1.05,10.0,120.0,40.0,60.0,0.15,5594.0,9517.0,6799.0,3236.0,614.4700000000003,4075.49,2358.0,8902.529999999999,2723.51
120.0,1.05,10.0,120.0,40.0,60.0,0.1,5594.0,4211.0,6976.0,3236.0,614.4700000000003,4075.49,2358.0,3596.5299999999997,2900.51
120.0,1.05,10.0,120.0,45.0,60.0,0.25,5594.0,8055.0,6058.0,3236.0,614.4700000000003,4075.49,2358.0,7440.53,1982.5100000000002
120.0,1.05,10.0,120.0,45.0,60.0,0.15,5594.0,8226.0,6077.0,3236.0,614.4700000000003,4075.49,2358.0,7611.53,2001.5100000000002
120.0,1.05,10.0,120.0,45.0,60.0,0.1,5594.0,2921.0,6254.0,3236.0,614.4700000000003,4075.49,2358.0,2306.5299999999997,2178.51
125.0,1.05,9.0,125.0,45.0,60.0,0.15,5594.0,6818.0,6162.0,3236.0,614.4700000000003,4075.49,2358.0,6203.53,2086.51
125.0,1.05,9.0,125.0,45.0,60.0,0.25,5594.0,6779.0,6143.0,3236.0,614.4700000000003,4075.49,2358.0,6164.53,2067.51
125.0,1.05,5.0,125.0,45.0,60.0,0.25,5594.0,6230.0,6143.0,3236.0,614.4700000000003,4075.49,2358.0,5615.53,2067.51
125.0,1.05,5.0,125.0,45.0,60.0,0.15,5594.0,6818.0,5977.0,3236.0,614.4700000000003,4075.49,2358.0,6203.53,1901.5100000000002
120.0,1.05,9.0,120.0,45.0,60.0,0.15,5594.0,8226.0,6077.0,3236.0,614.4700000000003,4075.49,2358.0,7611.53,2001.5100000000002
120.0,1.05,9.0,120.0,45.0,60.0,0.1,5594.0,2921.0,6254.0,3236.0,614.4700000000003,4075.49,2358.0,2306.5299999999997,2178.51
120.0,1.05,9.0,120.0,45.0,60.0,0.25,5594.0,8055.0,6058.0,3236.0,614.4700000000003,4075.49,2358.0,7440.53,1982.5100000000002
120.0,1.05,9.0,120.0,40.0,60.0,0.25,5594.0,9346.0,6780.0,3236.0,614.4700000000003,4075.49,2358.0,8731.529999999999,2704.51
120.0,1.05,9.0,120.0,40.0,60.0,0.15,5594.0,9517.0,6799.0,3236.0,614.4700000000003,4075.49,2358.0,8902.529999999999,2723.51
120.0,1.05,9.0,120.0,40.0,60.0,0.1,5594.0,4211.0,6976.0,3236.0,614.4700000000003,4075.49,2358.0,3596.5299999999997,2900.51
120.0,1.0,4.0,120.0,45.0,60.0,0.15,5594.0,7526.0,5725.0,3236.0,614.4700000000003,4075.49,2358.0,6911.53,1649.5100000000002
120.0,1.0,4.0,120.0,45.0,60.0,0.1,5594.0,2839.0,6440.0,3236.0,614.4700000000003,4075.49,2358.0,2224.5299999999997,2364.51
125.0,1.05,6.0,125.0,45.0,60.0,0.25,5594.0,6779.0,6143.0,3236.0,614.4700000000003,4075.49,2358.0,6164.53,2067.51
125.0,1.05,6.0,125.0,45.0,60.0,0.15,5594.0,6818.0,5977.0,3236.0,614.4700000000003,4075.49,2358.0,6203.53,1901.5100000000002
120.0,1.05,4.0,120.0,45.0,60.0,0.1,5594.0,2921.0,6254.0,3236.0,614.4700000000003,4075.49,2358.0,2306.5299999999997,2178.51
120.0,1.05,2.0,120.0,45.0,60.0,0.1,5594.0,2921.0,6254.0,3236.0,614.4700000000003,4075.49,2358.0,2306.5299999999997,2178.51
120.0,1.05,2.0,120.0,45.0,60.0,0.15,5594.0,8384.0,5892.0,3236.0,614.4700000000003,4075.49,2358.0,7769.53,1816.5100000000002
120.0,1.05,2.0,120.0,45.0,60.0,0.25,5594.0,7506.0,6058.0,3236.0,614.4700000000003,4075.49,2358.0,6891.53,1982.5100000000002
120.0,1.05,4.0,120.0,45.0,60.0,0.15,5594.0,8226.0,5892.0,3236.0,614.4700000000003,4075.49,2358.0,7611.53,1816.5100000000002
120.0,1.0,3.0,120.0,45.0,60.0,0.15,5594.0,7526.0,5725.0,3236.0,614.4700000000003,4075.49,2358.0,6911.53,1649.5100000000002
120.0,1.0,3.0,120.0,45.0,60.0,0.1,5594.0,2839.0,6440.0,3236.0,614.4700000000003,4075.49,2358.0,2224.5299999999997,2364.51
125.0,1.0,6.0,125.0,45.0,60.0,0.15,5594.0,6800.0,5810.0,3236.0,614.4700000000003,4075.49,2358.0,6185.53,1734.5100000000002
125.0,1.05,4.0,125.0,45.0,60.0,0.15,5594.0,6818.0,5977.0,3236.0,614.4700000000003,4075.49,2358.0,6203.53,1901.5100000000002
125.0,1.05,4.0,125.0,45.0,60.0,0.25,5594.0,6230.0,6143.0,3236.0,614.4700000000003,4075.49,2358.0,5615.53,2067.51
120.0,1.05,3.0,120.0,45.0,60.0,0.25,5594.0,7506.0,6058.0,3236.0,614.4700000000003,4075.49,2358.0,6891.53,1982.5100000000002
120.0,1.05,3.0,120.0,45.0,60.0,0.15,5594.0,8226.0,5892.0,3236.0,614.4700000000003,4075.49,2358.0,7611.53,1816.5100000000002
